Name,Title,Snippet
"Keith Ingalsbe, P.E, PMP","AD, Office of Asset and Facilities Management","AD, Office of Asset and Facilities Management · Experience: U.S. Immigration and Customs … 16 hours ago · By . Billal Rahman is an immigration reporter based in London, U.K. He …"
John S.,,"4 days ago · According to court documents, the charges stem from events occurring on April 18, when members of the Milwaukee office of U.S. Immigration and Customs Enforcement, … Feb 3, 2025 · According to the statement, Pasato was in the country illegally and had been convicted of sexual misconduct with a minor in 2021. The arrest was carried out by ICE's …"
Tyshawn Thomas,Chief Human Capital Officer,"16 hours ago · By . Billal Rahman is an immigration reporter based in London, U.K. He specializes in immigration policy and border security. He has uncovered allegations of misconduct among … Jan 31, 2025 · “It has been determined ICE is not allowed to participate in the DRP. All ICE positions are excluded, and Deferred Resignation is not …"
Jesse Williams,"Acting Assistant Director @ ICE | Criminal Investigations, Government","16 hours ago · By . Billal Rahman is an immigration reporter based in London, U.K. He specializes in immigration policy and border security. He has uncovered allegations of misconduct among … Acting Assistant Director @ ICE | Criminal Investigations, Government · Experience: U.S. Immigration and Customs Enforcement (ICE) · Location: …"
James Beard,,"16 hours ago · By . Billal Rahman is an immigration reporter based in London, U.K. He specializes in immigration policy and border security. He has uncovered allegations of misconduct among … 4 days ago · According to court documents, the charges stem from events occurring on April 18, when members of the Milwaukee office of U.S. Immigration and Customs Enforcement, …"
David O'Neill,,"16 hours ago · By . Billal Rahman is an immigration reporter based in London, U.K. He specializes in immigration policy and border security. He has uncovered allegations of misconduct among … 4 days ago · According to court documents, the charges stem from events occurring on April 18, when members of the Milwaukee office of U.S. Immigration and Customs Enforcement, …"
Miguel Vergara,Field Office Director (SES) at U.S. Immigration and Customs Enforcement (ICE),"16 hours ago · By . Billal Rahman is an immigration reporter based in London, U.K. He specializes in immigration policy and border security. He has uncovered allegations of misconduct among … 4 days ago · The charges stem from an incident on April 18 when agents from U.S. Immigration and Customs Enforcement, or ICE, attempted to arrest a Mexican citizen after a hearing in Milwaukee Circuit Judge ..."
Timothy Tubbs,Deputy Special Agent in Charge at Homeland Security Investigations,"16 hours ago · By . Billal Rahman is an immigration reporter based in London, U.K. He specializes in immigration policy and border security. He has uncovered allegations of misconduct among … Nov 18, 2024 · The indictments result from the close collaboration between U.S. Immigration and Customs Enforcement (ICE) Homeland Security Investigations (HSI) Mexico City Attaché …"
Jon Feere,Chief of Staff at U.S. Immigration and Customs Enforcement (ICE),"Mr. Feere was Director of Investigations from 2021 until 2025, when he returned to his position as U.S. Immigration and Customs Enforcement (ICE) Chief of … May 3, 2022 · Given the many new victims being created by the Biden administration's reckless cutback on immigration enforcement, it's worth a look back at the political and media treatment …"
Cherie Go,"""Life and travel leave marks on you..""","16 hours ago · By . Billal Rahman is an immigration reporter based in London, U.K. He specializes in immigration policy and border security. He has uncovered allegations of misconduct among … 4 days ago · According to court documents, the charges stem from events occurring on April 18, when members of the Milwaukee office of U.S. Immigration and Customs Enforcement, …"
Fernando Pineiro,"Aug 28, 2024FOIA Director at U.S. Immigration and Customs Enforcement (ICE)","Feb 12, 2024 · In a statement submitted to the court on Jan. 12, Fernando Pineiro, director of ICE’s FOIA office, said that as of January, the office was “handling 168 active FOIA litigations” and, on average, “producing … (Declaration of Fernando Pineiro, ICE’s FOIA Director ) (“Pineiro Decl.”) . Plaintiff contends that he sent his request via certified U.S. first class mail, seeking: (1) indictment and charging …"
Mellissa Harper,,"Mellissa Harper, a veteran immigration enforcement officer at ICE, has been tapped to lead the ORR, according to three current and former government officials, and oversee the care of... Feb 3, 2025 · Mellissa Harper, a veteran immigration enforcement officer at ICE, has been tapped to lead the ORR, according to three current and former government officials, and oversee the care of unaccompanied migrant children."
Heidi Myers,"Aug 28, 2024Deputy Chief Information Officer at U.S. Immigration and Customs Enforcement (ICE)","Aug 28, 2024 · Deputy Chief Information Officer at U.S. Immigration and Customs Enforcement (ICE) · Experience: U.S. Immigration and Customs Enforcement (ICE) · Location: Ashburn · … 16 hours ago · By . Billal Rahman is an immigration reporter based in London, U.K. He specializes in immigration policy and border security. He has uncovered allegations of misconduct among …"
Shawn B.,Deputy Field Office Director at U.S. Immigration and Customs Enforcement (ICE),"16 hours ago · By . Billal Rahman is an immigration reporter based in London, U.K. He specializes in immigration policy and border security. He has uncovered allegations of misconduct among … 4 days ago · The charges stem from an incident on April 18 when agents from U.S. Immigration and Customs Enforcement, or ICE, attempted to arrest a Mexican citizen after a hearing in Milwaukee Circuit Judge ..."
Amber S.,,"16 hours ago · By . Billal Rahman is an immigration reporter based in London, U.K. He specializes in immigration policy and border security. He has uncovered allegations of misconduct among … Apr 16, 2025 · How ICE Enforces Immigration Laws ICE identifies and apprehends removable aliens, detains these individuals and removes illegal aliens from the United States. ... incapable of consent, unlawful imprisonment, …"
Natasha Machado,,"16 hours ago · By . Billal Rahman is an immigration reporter based in London, U.K. He specializes in immigration policy and border security. He has uncovered allegations of misconduct among … 4 days ago · According to court documents, the charges stem from events occurring on April 18, when members of the Milwaukee office of U.S. Immigration and Customs Enforcement, …"
Sean Hackbarth,,"16 hours ago · By . Billal Rahman is an immigration reporter based in London, U.K. He specializes in immigration policy and border security. He has uncovered allegations of misconduct among … · Experience: U.S. Immigration and Customs Enforcement (ICE) · Education: Air War College · Location: Arlington · 500+ connections on LinkedIn. View Sean Hackbarth’s profile on …"
Matthew Schautz,Immigration Enforcement Agent at U.S. Immigration and Customs Enforcement (ICE),"16 hours ago · By . Billal Rahman is an immigration reporter based in London, U.K. He specializes in immigration policy and border security. He has uncovered allegations of misconduct among … Escort violent foreigners back to their country. Prosecute aggravated felons in Federal District Court. Arrest those in the country without immigration …"
David Johnston,Deportation Officer at U.S. Immigration and Customs Enforcement (ICE),"16 hours ago · By . Billal Rahman is an immigration reporter based in London, U.K. He specializes in immigration policy and border security. He has uncovered allegations of misconduct among … criminal history and immigration status of suspected immigration law violators. Placing detainer or coordinating arrest of individuals after verification is …"
Chris Winters,,"16 hours ago · By . Billal Rahman is an immigration reporter based in London, U.K. He specializes in immigration policy and border security. He has uncovered allegations of misconduct among … 4 days ago · According to court documents, the charges stem from events occurring on April 18, when members of the Milwaukee office of U.S. Immigration and Customs Enforcement, …"
Russ Spruance,"Special Agent (Retired) at Department of Homeland Security (DHS), Immigration and Customs Enforcement, (ICE)","16 hours ago · By . Billal Rahman is an immigration reporter based in London, U.K. He specializes in immigration policy and border security. He has uncovered allegations of misconduct among … 4 days ago · The charges stem from an incident on April 18 when agents from U.S. Immigration and Customs Enforcement, or ICE, attempted to arrest a Mexican citizen after a hearing in Milwaukee Circuit Judge ..."
Michael Burton,Criminal Analyst at U.S. Immigration and Customs Enforcement (ICE),"Jun 3, 2024 · Michael Burton, 48, of Shelburne, received a term of 60 months of imprisonment to be followed by a three-year term of supervised release. Burton previously pleaded guilty to … Criminal Analyst at U.S. Immigration and Customs Enforcement (ICE) · Experience: U.S. Immigration and Customs Enforcement (ICE) · Location: Washington · 79 connections on …"
Colin W. Maguire,,"5 days ago · By . Billal Rahman is an immigration reporter based in London, U.K. He specializes in immigration policy and border security. He has uncovered allegations of misconduct among border agents under ... 4 days ago · According to court documents, the charges stem from events occurring on April 18, when members of the Milwaukee office of U.S. Immigration and Customs Enforcement, …"
Chris Tighe,Over 25 years of varied experience in and outside of Federal Government. Experience spans…,"16 hours ago · By . Billal Rahman is an immigration reporter based in London, U.K. He specializes in immigration policy and border security. He has uncovered allegations of misconduct among … Feb 22, 2025 · · Experience: U.S. Immigration and Customs Enforcement (ICE) · Education: Federal Executive Institute · Location: Arlington · 500+ connections …"
Corey Celt,,"16 hours ago · By . Billal Rahman is an immigration reporter based in London, U.K. He specializes in immigration policy and border security. He has uncovered allegations of misconduct among … Associate Legal Advisor with ICE's Office of the Principal Legal Advisor, Immigration Law and Practice Division (Appellate Practice). General Attorney …"
Valarie Sheppard,Senior Human Resources Consultant at U.S. Immigration and Customs Enforcement (ICE),"Senior Human Resources Consultant at U.S. Immigration and Customs Enforcement (ICE) · Experience: U.S. Immigration and Customs Enforcement (ICE) · Education: The University of … 16 hours ago · By . Billal Rahman is an immigration reporter based in London, U.K. He specializes in immigration policy and border security. He has uncovered allegations of misconduct among …"
