Name,Title,Snippet
Luis Delgado,Public Safety Liaison,Luis Delgado is under investigation for alleged misconduct involving detainee mistreatment at an ICE facility.
Maya Chen,Legal Advisor,Maya Chen provided legal support to families affected by ICE raids during the 2020 operation.
Victor Ramos,Supervisory ICE Agent,Victor Ramos was mentioned in a report detailing delayed medical responses in a Texas detention center.
Sarah Knox,Supervisory Detention and Removal Officer,Sarah Knox coordinated multiple detainee transports under ICE jurisdiction.
Anthony Yu,Immigration Defense Attorney,Anthony Yu criticized ICE policies in a recent op-ed and called for defunding the agency.
Rachel Lee,Policy Compliance Manager,Rachel Lee was commended for implementing procedural reforms within ICE detention centers.
Kevin Waters,ICE Field Operations Supervisor,Kevin Waters was recognized for assisting in emergency housing coordination after a hurricane.
Fatima Noor,Senior Counsel,Fatima Noor leads litigation efforts to protect immigrant families from deportation.
Eric Sanchez,Assistant ICE Attaché,Eric Sanchez participated in cross-border enforcement planning with DHS partners.
Leah Kim,Community Engagement Officer,Leah Kim presented ICE policy updates at a local civic council meeting.
James Cole,Detention Facility Warden,James Cole was accused of neglect after multiple complaints surfaced regarding unsanitary conditions.
Isabel Cortez,Human Rights Liaison,Isabel Cortez mediated a complaint between ICE and the ACLU regarding detainment conditions.
Derrick White,ICE Deportation Officer,Derrick White testified in court about ICE's handling of asylum case rejections.
Nina Shah,Legal Advisor,Nina Shah defended clients facing ICE deportation orders.
Carlos Romero,ICE Compliance Director,Carlos Romero was listed as a co-defendant in a lawsuit regarding wrongful detentions.
Lauren Mitchell,Internal Policy Advisor,Lauren Mitchell worked on expanding trauma-informed training for ICE agents.
Zaid Hassan,Supervisory Enforcement Officer,Zaid Hassan was cited in a DHS oversight memo on force usage in migrant detention.
Bianca Torres,FOIA Coordinator,Bianca Torres responded to records requests related to ICE removal data.
Tomas Villanueva,Senior Legal Associate,Tomas Villanueva leads legal challenges to several ICE enforcement initiatives.
Amira Davis,Criminal Alien Program Supervisor,Amira Davis oversaw over 100 deportations in the past quarter.
Melissa Nguyen,ICE Legal Advisor,Melissa Nguyen assisted ICE agents with internal warrant authorization processes.
Roger Kent,Field Director, ICE San Diego,Roger Kent was mentioned in a civil complaint involving ICE contractor misconduct.
Janelle Brooks,Data Analyst,Janelle Brooks was recognized for developing analytics to track ICE efficiency metrics.
David Park,Border Enforcement Officer,David Park faced criticism after a video emerged showing excessive use of restraints.
Samira Patel,ICE Chief Counsel,Samira Patel declined to comment on the agency's decision to separate minors from their guardians.
Julia Ramirez,Public Affairs Officer,Julia Ramirez published a response to recent ICE criticism by journalists.
Devon Holt,ICE Deportation Specialist,Devon Holt was suspended following an internal probe into detainee abuse.
Yusuf Khan,Senior Detention Operations Manager,Yusuf Khan’s team was investigated by DHS after an outbreak of illness in ICE custody.
Elena Tran,Legal Director,Elena Tran filed a class-action suit against ICE over due process violations.
Ahmed Salim,Enforcement and Removal Officer,Ahmed Salim’s unit carried out large-scale deportation operations during a recent sweep.
Grace Lin,Attorney for Immigrant Justice,Grace Lin filed a federal injunction to block ICE removals of children.
Roberto Espinoza,ICE Investigations Officer,Roberto Espinoza was involved in an ICE raid that resulted in multiple arrests and community backlash.
Ariella Moon,Detention Quality Control Officer,Ariella Moon conducted reviews following a detainee death in ICE custody.
Daniela Cruz,Assistant Chief Counsel,Daniela Cruz faced ethics questions after redacting key documents in an ICE case.
Paul Weston,Compliance Officer,Paul Weston was recognized for whistleblowing on financial mismanagement in ICE regional budgets.
Reina Lopez,Supervisory Transportation Coordinator,Reina Lopez was investigated after complaints about excessive transfers during extreme heat.
Benjamin Reed,Immigration Judge,Benjamin Reed ruled against ICE in a landmark case on detention legality.
Sophia Ali,ICE Senior Mission Support Specialist,Sophia Ali was promoted for streamlining internal policy distribution across ICE field offices.
Andre Foster,Legal Strategist,Andre Foster co-authored a report on ICE misconduct for the National Immigration Law Center.
Marisol Vega,ICE Detention Health Officer,Marisol Vega was called to testify after a detainee’s preventable death.
Kamal Patel,Administrative Support Specialist,Kamal Patel was accidentally copied on internal ICE communications involving misconduct logs.
